invoice_id,store_name,store_num,deli_retail,total,signature,signed_by,check_number,notes
5090222,Lucky Seven Hoyt Lakes,10,Retail,,5090222.Signature.013409.png,Bob,,
5090301,Dawghouse Canyon,,Retail,,5090301.Signature.145154.png,Machaela,10312,
5090302,Speedway Cotton,44614,Retail,,5090302.Signature.150915.png,Brandon,,
5090303,Melrude Pub,,Retail,,,,,
5090304,Short Stop Townline,26,Retail,,5090304.Signature.155511.png,Megan,,
5090305,Ely Lake Short Stop,6,Retail,,5090305.Signature.162104.png,Brooke,,
5090306,Short Stop Eveleth,18,Retail,,5090306.Signature.163803.png,April,,
5090307,Short Stop Virginia,5,Retail,,5090307.Signature.170709.png,Rene,,
5090308,"Lucky Seven Virginia, Hoover Rd",5,Deli,,5090308.Signature.180528.png,Nikki,,
5090309,Lucky Seven Biwabik,1,Retail,,5090309.Signature.184545.png,Melissa,,
5090310,Lucky Seven Biwabik,1,Deli,,5090310.Signature.184458.png,Heather,,
5090311,Twig Store,,Retail,,5090311.Signature.200332.png,Linda,17381,
5090401,Korner Store Cloquet,500,Retail,,5090401.Signature.131728.png,Amanda,,
5090402,Lucky Seven Cloquet,31,Retail,,,,,
5090403,Super One Cloquet,571,Retail,,5090403.Signature.134241.png,,,
5090404,Cromwell Store VP,,Retail,,5090404.Signature.143605.png,Cindy,,
5090405,Ukura's Big Dollar,,Retail,,5090405.Signature.151215.png,Julie,6491,
5090406,KJ's Fresh Market Moose Lake,,Retail,,,Randy,,
5090407,Korner Store Sturgeon Lake,,Retail,,5090407.Signature.162909.png,Alisha,,
5090408,Lucky Seven Barnum,34,Retail,,5090408.Signature.170048.png,TJ,,
5090409,Lucky Seven Barnum,34,Deli,,5090409.Signature.170016.png,Mike,,
5090410,Third Base,,Retail,,5090410.Signature.173541.png,Chrystal,8049,
5090411,Caywood Esko,,Retail,,5090411.Signature.175658.png,Chay,,
5090412,Lucky Seven Proctor,32,Retail,,5090412.Signature.182603.png,Cayden,,
5090413,Lucky Seven Proctor,32,Deli,,5090413.Signature.182648.png,Cayden,,
5090414,Midway Fuels,,Retail,,5090414.Signature.184420.png,Randy,,
5090415,Stokkes Adolph,,Retail,,5090415.Signature.185408.png,Bianca,,
5090416,Speedway Morgan Park,44612,Retail,,5090416.Signature.192615.png,Becky,,
5090417,Korner Store Gary North,1,Retail,,5090417.Signature.194301.png,,,
5090418,Korner Store Gary South,2,Retail,,5090418.Signature.195717.png,,,
5090419,Nemadji Golf Course,,Retail,,5090419.Signature.201725.png,,,
5090420,Korner Store Lincoln Park,800,Retail,,5090420.Signature.210012.png,Calvin,,
5090421,Spurs On First,,Retail,,5090421.Signature.211745.png,Geno,,
5090422,Speedway 4th Street,44618,Retail,,5090422.Signature.213138.png,Trudy,,
5090423,Short Stop 9th Street,,Retail,,,,,
5090424,Reef,,Retail,,5090424.Signature.221323.png,Thomas,11709,
5090425,Woodland Short Stop,,Retail,,5090425.Signature.223100.png,Wyatt,,
5090426,Stokkes Lakewood,,Retail,,5090426.Signature.230155.png,Elianna,,
5090427,Fredenburg Minno-ette,,Retail,,5090427.Signature.234655.png,,,
5090801,Caywood Saginaw,,Retail,,5090801.Signature.150740.png,Sheila,,
5090401,Korner Store Cloquet,500,Retail,$186.60,5090401.Signature.131728.png,Amanda,,
5090402,Lucky Seven Cloquet,31,Retail,$0.00,,,,Label came off
5090403,Super One Cloquet,571,Retail,$224.40,5090403.Signature.134241.png,,,
5090404,Cromwell Store VP,,Retail,$50.00,5090404.Signature.143605.png,Cindy,,
5090405,Ukura's Big Dollar,,Retail,$249.90,5090405.Signature.151215.png,Julie,6491,
5090406,KJ's Fresh Market Moose Lake,,Retail,$95.20,,Randy,,
5090407,Korner Store Sturgeon Lake,,Retail,$237.80,5090407.Signature.162909.png,Alisha,,
5090408,Lucky Seven Barnum,34,Retail,$367.00,5090408.Signature.170048.png,TJ,,
5090409,Lucky Seven Barnum,34,Deli,$166.80,5090409.Signature.170016.png,Mike,,
5090410,Third Base,,Retail,$116.25,5090410.Signature.173541.png,Chrystal,8049,
5090411,Caywood Esko,,Retail,$113.80,5090411.Signature.175658.png,Chay,,
5090412,Lucky Seven Proctor,32,Retail,$174.60,5090412.Signature.182603.png,Cayden,,
5090413,Lucky Seven Proctor,32,Deli,$111.20,5090413.Signature.182648.png,Cayden,,
5090414,Midway Fuels,,Retail,$187.80,5090414.Signature.184420.png,Randy,,
5090415,Stokkes Adolph,,Retail,$119.00,5090415.Signature.185408.png,Bianca,,
5090416,Speedway Morgan Park,44612,Retail,$324.50,5090416.Signature.192615.png,Becky,,
5090417,Korner Store Gary North,1,Retail,$112.60,5090417.Signature.194301.png,,,
5090418,Korner Store Gary South,2,Retail,$182.40,5090418.Signature.195717.png,,,
5090419,Nemadji Golf Course,,Retail,$95.20,5090419.Signature.201725.png,,,
5090420,Korner Store Lincoln Park,800,Retail,$215.60,5090420.Signature.210012.png,Calvin,,
5090421,Spurs On First,,Retail,$278.00,5090421.Signature.211745.png,Geno,,
5090422,Speedway 4th Street,44618,Retail,$167.60,5090422.Signature.213138.png,Trudy,,
5090423,Short Stop 9th Street,,Retail,$77.60,,,,
5090424,Reef,,Retail,$169.75,5090424.Signature.221323.png,Thomas,11709,
5090425,Woodland Short Stop,,Retail,$75.00,5090425.Signature.223100.png,Wyatt,,
5090426,Stokkes Lakewood,,Retail,$404.90,5090426.Signature.230155.png,Elianna,,
5090427,Fredenburg Minno-ette,,Retail,$286.00,5090427.Signature.234655.png,,,
5090801,Caywood Saginaw,,Retail,$183.20,5090801.Signature.150740.png,Sheila,,
5090802,Lucky Seven Floodwood,33,Deli,$257.15,5090802.Signature.155229.png,Dave,,
5090803,Lucky Seven Floodwood,33,Retail,$80.00,5090803.Signature.155302.png,Dave,,
5090804,Lucky Seven Swan River,24,Deli,$834.00,5090804.Signature.171556.png,Mitchel,,
5090805,Lucky Seven Swan River,24,Retail,$295.60,5090805.Signature.171511.png,Mitchel,,
5090806,Super One Grand Rapids North,520,Retail,$54.40,5090806.Signature.175002.png,Lance,,
5090807,Lucky Seven Grand Rapids West,30,Retail,$70.00,5090807.Signature.181143.png,Tovino,,
5090808,Lucky Seven Grand Rapids West,30,Deli,$222.40,5090808.Signature.181217.png,Tovino,,
5090809,Lucky Seven Grand Rapids East,22,Deli,$222.40,5090809.Signature.184833.png,Emily,,
5090810,Lucky Seven Grand Rapids East,22,Retail,$60.00,5090810.Signature.184336.png,,,
5090811,Lucky Seven Nashwauk,26,Deli,$55.60,5090811.Signature.193421.png,Betsy,,
5090812,Lucky Seven Nashwauk,26,Retail,$188.30,5090812.Signature.193336.png,Betsy,,
5090813,Lucky Seven Hibbing Y,15,Deli,$222.40,5090813.Signature.200307.png,Wil,,
5090814,Super One Hibbing,525,Retail,$156.40,5090814.Signature.201900.png,Katrina,,
5090815,Lucky Seven Hibbing A1,23,Retail,$48.65,5090815.Signature.203420.png,,,
5090816,Korner Store Chisholm,200,Retail,$27.80,5090816.Signature.204713.png,Brandy,,
5090817,Jubilee Chisholm,,Retail,$17.85,5090817.Signature.205957.png,,,
5090818,Lucky Seven Chisholm,6,Retail,$222.40,5090818.Signature.211105.png,Dave,,
5090819,Short Stop Mt Iron,,Retail,$161.40,5090819.Signature.214337.png,Tammy,,
5090820,Short Stop Cook,,Retail,$68.50,5090820.Signature.222217.png,Collin,,
5090821,Lucky Seven Cook,2,Retail,$0.00,,,,
5090822,Lucky Seven Biwabik,1,Deli,$111.20,5090822.Signature.232306.png,Axle,,
5090823,Lucky Seven Aurora,13,Deli,$166.80,5090823.Signature.233924.png,David,,
5090824,Lucky Seven Hoyt Lakes,10,Deli,$166.80,5090824.Signature.000357.png,Thomas,,
5090825,Lucky Seven Hoyt Lakes,10,Retail,$222.40,5090825.Signature.000319.png,,,
5090901,Short Stop Virginia,5,Retail,$161.40,5090901.Signature.153853.png,Amanda,,
5090902,Short Stop Express Virginia,,Retail,$144.40,5090902.Signature.160538.png,Ryan,,
5090903,"Lucky Seven Virginia, Hoover Rd",5,Retail,$60.00,5090903.Signature.162904.png,Will,,
5090904,"Lucky Seven Virginia, Hoover Rd",5,Deli,$278.00,5090904.Signature.162943.png,Will,,
5090905,"Lucky Seven Virginia, Northside",9,Retail,$111.20,5090905.Signature.164819.png,Mike,,
5090906,Super One Two Harbors,528,Retail,$136.00,5090906.Signature.182752.png,Matthew,,
5090907,Stokkes Lakewood,,Retail,$289.70,5090907.Signature.192152.png,Jazz,,
5090908,Super One Kenwood,458,Retail,$136.00,5090908.Signature.195624.png,Alex,,
5090909,Super One Pike Lake,571,Retail,$20.40,5090909.Signature.204046.png,Layla,,
5091001,Korner Store Cloquet,500,Retail,$55.60,5091001.Signature.150750.png,,,
5091002,Stokkes Adolph,,Retail,$243.20,5091002.Signature.163601.png,,,
5091003,Powerhouse Bar,,Retail,$111.20,5091003.Signature.170037.png,Alex,30355,
5091004,Lucky Seven Proctor,32,Retail,$23.80,5091004.Signature.171300.png,Cathy,,
5091005,Lucky Seven Proctor,32,Deli,$27.80,5091005.Signature.171323.png,Cathy,,
5091006,Super One West Duluth,565,Retail,$136.00,5091006.Signature.172528.png,Kari,,
5091007,American Legion Post,71,Retail,$55.60,5091007.Signature.173510.png,Kelly,,
5091008,Speedway Morgan Park,44612,Retail,$215.00,5091008.Signature.180117.png,Emily,,
5091009,Korner Store Gary South,2,Retail,$75.40,5091009.Signature.182322.png,Sam,,
5091010,Nemadji Golf Course,,Retail,$95.20,5091010.Signature.184938.png,Stacy,,
5091011,Korner Store Superior,300,Retail,$51.60,5091011.Signature.191012.png,Chuck,,
5091012,Super One East Superior,577,Retail,$81.60,5091012.Signature.192317.png,,,
5091013,Average Joes,,Retail,$262.05,5091013.Signature.194622.png,Sydney,,
5091014,Heritage Hockey Arena,,Retail,$278.00,5091014.Signature.201441.png,Barb,,
5091015,Korner Store Lincoln Park,800,Retail,$319.00,5091015.Signature.205015.png,Lea,,
5091016,Speedway 4th Street,44618,Retail,$302.80,5091016.Signature.212346.png,Trudy,,
5091017,Reef,,Retail,$111.20,5091017.Signature.215432.png,Rachel,11720,
5090907,Stokkes Lakewood,,Retail,$276.20,5090907.Signature.192152.png,Jazz,,
5091401,Lucky Seven Grantsburg,39,Deli,$556.00,5091401.Signature.163417.png,Rene,,
5091402,Lucky Seven Grantsburg,39,Retail,$55.60,5091402.Signature.163448.png,Rene,,
5091403,Lucky Seven Cushing,42,Deli,$333.60,5091403.Signature.170615.png,Brenda,,
5091404,Lucky Seven Cushing,42,Retail,$222.40,5091404.Signature.170525.png,Brenda,,
5091405,Lucky Seven Luck,40,Deli,"$1,112.00",5091405.Signature.174214.png,Tammy,,
5091406,Lucky Seven Luck,40,Retail,$103.20,5091406.Signature.174254.png,Tammy,,
5091407,Lucky Seven Webster,41,Deli,$222.40,5091407.Signature.182709.png,Lisa,,
5091501,Lucky Seven Minong,36,Deli,$444.80,5091501.Signature.191855.png,Becky,,
5091502,Lucky Seven Hinckley,37,Deli,$222.40,5091502.Signature.155034.png,Kirstin,,
5091601,Caywood Saginaw,,Retail,$186.60,5091601.Signature.140441.png,Sheila,,
5091602,Speedway Floodwood,44613,Retail,$47.60,5091602.Signature.143425.png,Ben,,
5091603,Lucky Seven Floodwood,33,Deli,$361.40,5091603.Signature.145248.png,Mac,,
5091604,Lucky Seven Swan River,24,Deli,$889.60,5091604.Signature.153949.png,,,
5091605,Lucky Seven Swan River,24,Retail,$114.00,5091605.Signature.153921.png,,,
5091606,Lucky Seven Grand Rapids West,30,Retail,$20.00,5091606.Signature.201334.png,Wil,,
5091607,Lucky Seven Grand Rapids West,30,Deli,$166.80,5091607.Signature.201409.png,Wil,,
5091608,Lucky Seven Grand Rapids East,22,Retail,$84.80,5091608.Signature.204558.png,Drew,,
5091609,Lucky Seven Grand Rapids East,22,Deli,$250.20,5091609.Signature.204628.png,Drew,,
5091610,Lucky Seven Hibbing Y,15,Retail,$272.60,5091610.Signature.215407.png,Brittany,,
5091611,Lucky Seven Hibbing Y,15,Deli,$389.20,5091611.Signature.215437.png,Brittany,,
5091612,Korner Store Chisholm,200,Retail,$45.90,5091612.Signature.222149.png,Lenny,,
5091613,Lucky Seven Chisholm,6,Retail,$111.20,5091613.Signature.224112.png,Dave,,
5091614,Lucky Seven Chisholm,6,Deli,$278.00,5091614.Signature.224143.png,Dave,,
5091701,Speedway Cotton,44614,Retail,$143.80,5091701.Signature.132341.png,Brandon,,
5091702,Short Stop Townline,26,Retail,$99.80,,,,
5091703,Short Stop Eveleth,18,Retail,$161.40,5091703.Signature.141650.png,April,,
5091704,Short Stop Virginia,5,Retail,$47.40,5091704.Signature.144230.png,Chad,,
5091705,"Lucky Seven Virginia, Hoover Rd",5,Retail,$183.80,5091705.Signature.151107.png,Gavin,,
5091706,"Lucky Seven Virginia, Hoover Rd",5,Deli,$750.60,5091706.Signature.151137.png,Gavin,,
5091707,Short Stop Cook,,Retail,$61.25,5091707.Signature.160049.png,Cody,,
5091708,Lucky Seven Cook,2,Deli,$111.20,5091708.Signature.161459.png,Mike,,
5091709,Lucky Seven Cook,2,Retail,$80.70,5091709.Signature.161421.png,Mike,,
5091710,The Y Store,,Retail,$250.20,5091710.Signature.170050.png,Karen,,
5091711,Lucky Seven Ely,11,Retail,$368.45,5091711.Signature.174927.png,,,
5091712,Lucky Seven Ely,11,Deli,$166.80,5091712.Signature.174953.png,,,
5091713,Short Stop Ely Voyageur,66,Retail,$71.20,5091713.Signature.180504.png,Kami,,
5091714,Lucky Seven Aurora,13,Deli,$166.80,5091714.Signature.191305.png,Bailey,,
5091715,Lucky Seven Aurora,13,Retail,$194.60,5091715.Signature.191234.png,Bailey,,
5091716,Lucky Seven Hoyt Lakes,10,Deli,$166.80,5091716.Signature.193438.png,,,
5091717,Lucky Seven Biwabik,1,Deli,$166.80,5091717.Signature.195519.png,,,
5091801,Korner Store Cloquet,500,Retail,$55.60,5091801.Signature.145645.png,Amanda,,
5091802,Super One Cloquet,571,Retail,$74.80,5091802.Signature.151118.png,Kirk,,
5091803,Cromwell Store VP,,Retail,$163.50,5091803.Signature.160734.png,Cindy,,
5091804,Ukura's Big Dollar,,Retail,$289.60,5091804.Signature.165928.png,Har,6500,
5091805,KJ's Fresh Market Moose Lake,,Retail,$71.40,5091805.Signature.174839.png,Ben,,
5091806,Lucky Seven Moose Lake,38,Deli,$111.20,5091806.Signature.180207.png,Mary,,
5091807,Korner Store Sturgeon Lake,,Retail,$336.40,5091807.Signature.182813.png,Jake,,
5091808,Caywood Carlton,,Retail,$150.80,5091808.Signature.191441.png,Marcus,,
5091809,Third Base,,Retail,$278.00,5091809.Signature.193026.png,Crystal,8073,
5091810,Caywood Esko,,Retail,$128.05,5091810.Signature.194718.png,Chai,,
5091811,Lucky Seven Proctor,32,Retail,$83.30,5091811.Signature.201131.png,Cathy,,
5091812,Lucky Seven Proctor,32,Deli,$222.40,5091812.Signature.201211.png,Cathy,,
5091813,Midway Fuels,,Retail,$104.40,5091813.Signature.203102.png,Randy,,
5091814,Stokkes Adolph,,Retail,$173.20,5091814.Signature.204502.png,Kendra,,
5091901,Pauls Place,321,Retail,$20.85,,P,,
5091902,Korner Store Gary South,2,Retail,$184.00,5091902.Signature.154537.png,Wil,,
5091903,Speedway Morgan Park,44612,Retail,$198.20,5091903.Signature.162913.png,Becky,,
5091904,Korner Store Lincoln Park,800,Retail,$263.20,5091904.Signature.171636.png,,,
5091905,Speedway 4th Street,44618,Retail,$525.60,5091905.Signature.174420.png,Crystal,,
5091906,Short Stop Central Ent,,Retail,$95.20,5091906.Signature.181130.png,Jamie,,
5091907,Short Stop 9th Street,,Retail,$71.40,5091907.Signature.182616.png,Matt,,
5091908,Reef,,Retail,$246.20,5091908.Signature.185317.png,Dan,11733,
5091909,Woodland Short Stop,,Retail,$47.60,5091909.Signature.191117.png,,,
5091910,Stokkes Lakewood,,Retail,$671.20,5091910.Signature.194940.png,Jaz,,
5092201,Lucky Seven Floodwood,33,Deli,$187.65,5092201.Signature.161450.png,Veronica,,
5092202,Lucky Seven Floodwood,33,Retail,$264.10,5092202.Signature.161521.png,Veronica,,
5092203,Lucky Seven Swan River,24,Deli,$556.00,5092203.Signature.171109.png,Mitchell,,
5092204,Lucky Seven Swan River,24,Retail,$210.05,5092204.Signature.171150.png,Gwendalin,,
5092205,Lucky Seven Grand Rapids West,30,Retail,$55.60,5092205.Signature.180733.png,,,
5092206,Lucky Seven Grand Rapids East,22,Deli,$166.80,5092206.Signature.180813.png,,,
5092207,Lucky Seven Grand Rapids East,22,Deli,$55.60,5092207.Signature.183840.png,Emily,,
5092208,Lucky Seven Grand Rapids East,22,Retail,$57.00,5092208.Signature.183807.png,Emily,,
5092209,Lucky Seven Nashwauk,26,Deli,$55.60,5092209.Signature.192115.png,Rene,,
5092210,Lucky Seven Nashwauk,26,Retail,$60.60,5092210.Signature.192203.png,Rene,,
5092211,Lucky Seven Hibbing Y,15,Retail,$194.60,5092211.Signature.201222.png,Brittany,,
5092212,Lucky Seven Hibbing Y,15,Deli,$278.00,5092212.Signature.201253.png,Brittany,,
5092213,Super One Hibbing,525,Retail,$156.40,5092213.Signature.202834.png,Katrina,,
5092214,Lucky Seven Hibbing A1,23,Retail,$55.60,5092214.Signature.204113.png,Sierra,,
5092215,Korner Store Chisholm,200,Retail,$47.60,5092215.Signature.205404.png,,,
5092216,Jubilee Chisholm,,Retail,$47.60,5092216.Signature.210737.png,Camile,,
5092217,Lucky Seven Chisholm,6,Deli,$222.40,5092217.Signature.211836.png,,,
5092218,Dawghouse Canyon,,Retail,$190.60,5092218.Signature.222612.png,Chandler,10323,
5092301,Twig Store,,Retail,$90.00,5092301.Signature.155241.png,Dave,17423,Switched Terry w Jalo (terry not selling)
5092302,Wild Experience Hunting Preserve,,Retail,$222.40,5092302.Signature.163645.png,John,2392,
5092303,Speedway Cotton,44614,Retail,$131.40,5092303.Signature.172745.png,Jason,,
5092304,Short Stop Townline,26,Retail,$579.80,5092304.Signature.180048.png,Ray,,
5092305,Ely Lake Short Stop,6,Retail,$90.00,5092305.Signature.181946.png,,,
5092306,Short Stop Eveleth,18,Retail,$60.00,5092306.Signature.183730.png,Jess,,
5092307,Short Stop Virginia,5,Retail,$137.00,5092307.Signature.190455.png,Chad,,
5092308,Super One Virginia,509,Retail,$190.40,5092308.Signature.192249.png,Seth,,
5092309,Short Stop Express Virginia,,Retail,$20.00,5092309.Signature.193803.png,Joe,,
5092310,Short Stop Mt Iron,,Retail,$104.40,5092310.Signature.194946.png,Kelly,,
5092311,"Lucky Seven Virginia, Hoover Rd",5,Retail,$45.00,5092311.Signature.200743.png,Gavin,,
5092312,"Lucky Seven Virginia, Hoover Rd",5,Deli,$500.40,5092312.Signature.200819.png,Gavin,,
5092313,Short Stop Cook,,Retail,$139.50,5092313.Signature.210257.png,Nancy,,
5092314,Lucky Seven Cook,2,Retail,$93.25,5092314.Signature.212008.png,,,
5092315,The Y Store,,Retail,$480.00,5092315.Signature.220350.png,Peter,,
5092316,Lucky Seven Aurora,13,Deli,$222.40,5092316.Signature.224223.png,Chris,,
5092317,Lucky Seven Aurora,13,Retail,$27.80,5092317.Signature.224252.png,Chris,,
5092318,Lucky Seven Hoyt Lakes,10,Deli,$166.80,5092318.Signature.230301.png,Thomas,,
5092319,Lucky Seven Hoyt Lakes,10,Retail,$83.40,5092319.Signature.230333.png,Thomas,,
5092320,Super One Two Harbors,528,Retail,$54.40,5092320.Signature.000914.png,Tyler,,
5092321,Stokkes Lakewood,,Retail,$305.60,5092321.Signature.005507.png,Avery,,
5092322,Super One Miller Hill,576,Retail,$217.60,5092322.Signature.013106.png,Rockie,,
5092401,Stokkes Adolph,,Retail,$261.80,5092401.Signature.145847.png,Sue,,
5092402,Super One West Duluth,565,Retail,$108.80,5092402.Signature.152403.png,Jake,,
5092403,American Legion Post,71,Retail,$111.20,,,,
5092404,Speedway Morgan Park,44612,Retail,$308.40,5092404.Signature.160311.png,Becky,,
5092405,Korner Store Gary North,1,Retail,$163.20,5092405.Signature.163038.png,Crystals,,
5092406,Korner Store Superior,300,Retail,$103.20,5092406.Signature.171704.png,Dianna,,
5092407,Super One East Superior,577,Retail,$108.80,5092407.Signature.172501.png,Tim,,
5092408,Duluth Tap Exchange,,Retail,$111.20,,,,
5092409,Korner Store Lincoln Park,800,Retail,$47.60,5092409.Signature.180948.png,Josh,,
5092410,Speedway 4th Street,44618,Retail,$262.80,5092410.Signature.183654.png,Josiah,,
5092411,Short Stop 9th Street,,Retail,$67.60,5092411.Signature.184559.png,Matt,,
5092412,Reef,,Retail,$69.50,5092412.Signature.190037.png,Rachel,11745,
5092413,Speedway Hermantown,44610,Retail,$320.70,5092413.Signature.193553.png,Kaily,,
5092801,Lucky Seven Luck,40,Deli,$667.20,5092801.Signature.212514.png,Lily,,
5092802,Lucky Seven Luck,40,Retail,$55.60,5092802.Signature.212440.png,Lily,,
5092803,Lucky Seven Cushing,42,Deli,$611.60,5092803.Signature.174820.png,Brenda,,
5092804,Lucky Seven Cushing,42,Retail,$214.40,5092804.Signature.174709.png,Amy,,
5092805,Lucky Seven Woodville,45,Retail,$278.00,5092805.Signature.192625.png,,,
5092806,Lucky Seven Balsam Lake,43,Deli,"$1,469.20",5092806.Signature.205259.png,Eilleen,,
5092807,Lucky Seven Balsam Lake,43,Retail,$222.40,5092807.Signature.205342.png,Eileen,,
5092808,Lucky Seven Webster,41,Deli,$611.60,5092808.Signature.221824.png,Lisa,,
5092809,Lucky Seven Grantsburg,39,Deli,"$1,000.80",5092809.Signature.165909.png,Rene,,
5092810,Lucky Seven Grantsburg,39,Retail,$55.60,5092810.Signature.170005.png,Rene,,
5092901,Lucky Seven Hinckley,37,Deli,$222.40,5092901.Signature.160030.png,Erin,,
5092902,Average Joes,,Retail,$0.00,5092902.Signature.234536.png,Megan,,Exchange Thai out for other flavors.  Thai had a weird taste to it and they didn't want it anymore.
5093001,Caywood Saginaw,,Retail,$240.00,5093001.Signature.150610.png,Sheila,,
5093002,Wild Experience Hunting Preserve,,Retail,$250.20,5093002.Signature.155903.png,Dar,2397,
5093003,Lucky Seven Floodwood,33,Deli,$180.70,5093003.Signature.164827.png,Amy,,
5093004,Lucky Seven Floodwood,33,Retail,$180.00,5093004.Signature.164904.png,Joe,,
5093005,Lucky Seven Swan River,24,Deli,$834.00,5093005.Signature.174638.png,James,,
5093006,Lucky Seven Swan River,24,Retail,$200.00,5093006.Signature.174607.png,James,,
5093007,Lucky Seven Grand Rapids West,30,Retail,$75.00,5093007.Signature.183927.png,Sierra,,
5093008,Lucky Seven Grand Rapids West,30,Deli,$194.60,5093008.Signature.184002.png,Sierra,,
5093009,Lucky Seven Grand Rapids East,22,Deli,$194.60,5093009.Signature.190539.png,Emily,,
5093010,Lucky Seven Grand Rapids East,22,Retail,$80.00,5093010.Signature.190452.png,Emily,,
5093011,Lucky Seven Nashwauk,26,Retail,$90.00,5093011.Signature.194146.png,Sam,,
5093012,Lucky Seven Hibbing Y,15,Retail,$150.00,5093012.Signature.201202.png,Brittany,,
5093013,Lucky Seven Hibbing Y,15,Deli,$166.80,5093013.Signature.201139.png,Brittany,,
5093014,Korner Store Chisholm,200,Retail,$38.75,5093014.Signature.203538.png,Jen,,
5093015,Lucky Seven Chisholm,6,Retail,$91.60,5093015.Signature.205234.png,Luke,,
